
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=1024
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494271488

2017-05-08T15:25:42.555426: step 1, loss 2.92102, acc 0.179688
2017-05-08T20:33:41.999862: step 364, loss 0.5191, acc 0.813477
2017-05-08T20:34:33.834177: step 365, loss 0.550832, acc 0.771484
2017-05-08T20:35:25.919211: step 366, loss 0.546775, acc 0.777344
2017-05-08T20:36:17.747621: step 367, loss 0.558632, acc 0.808594
2017-05-08T20:37:09.725911: step 368, loss 0.538899, acc 0.818359
2017-05-08T20:37:50.622805: step 369, loss 0.522868, acc 0.790123
2017-05-08T20:38:42.532160: step 370, loss 0.561519, acc 0.766602
2017-05-08T20:39:34.311840: step 371, loss 0.564802, acc 0.769531
2017-05-08T20:40:26.707444: step 372, loss 0.581778, acc 0.814453
2017-05-08T20:41:18.445420: step 373, loss 0.53739, acc 0.787109
2017-05-08T20:42:10.603456: step 374, loss 0.605175, acc 0.722656
2017-05-08T20:43:02.725677: step 375, loss 0.508004, acc 0.810547
2017-05-08T20:43:54.533184: step 376, loss 0.570473, acc 0.818359
2017-05-08T20:44:46.425857: step 377, loss 0.553823, acc 0.77832
2017-05-08T20:45:27.271312: step 378, loss 0.498063, acc 0.795062
2017-05-08T20:46:19.159698: step 379, loss 0.537038, acc 0.779297
2017-05-08T20:47:11.265829: step 380, loss 0.542842, acc 0.821289
2017-05-08T20:48:03.419337: step 381, loss 0.550907, acc 0.794922
2017-05-08T20:48:55.469813: step 382, loss 0.521505, acc 0.787109
2017-05-08T20:49:47.933527: step 383, loss 0.565106, acc 0.746094
2017-05-08T20:50:40.285327: step 384, loss 0.539801, acc 0.833984
2017-05-08T20:51:31.917639: step 385, loss 0.510714, acc 0.821289
2017-05-08T20:52:23.905186: step 386, loss 0.537357, acc 0.774414
2017-05-08T20:53:04.999576: step 387, loss 0.513749, acc 0.8
2017-05-08T20:53:57.016676: step 388, loss 0.534278, acc 0.803711
2017-05-08T20:54:48.944562: step 389, loss 0.541628, acc 0.813477
2017-05-08T20:55:40.979700: step 390, loss 0.508204, acc 0.791016
2017-05-08T20:56:32.736302: step 391, loss 0.492915, acc 0.794922
2017-05-08T20:57:24.480053: step 392, loss 0.522267, acc 0.799805
2017-05-08T20:58:16.513224: step 393, loss 0.535615, acc 0.829102
2017-05-08T20:59:08.302774: step 394, loss 0.532274, acc 0.818359
2017-05-08T21:00:00.246848: step 395, loss 0.520147, acc 0.777344
2017-05-08T21:00:41.339703: step 396, loss 0.516713, acc 0.782716
2017-05-08T21:01:33.156682: step 397, loss 0.503008, acc 0.833008
2017-05-08T21:02:25.256406: step 398, loss 0.497632, acc 0.84082
2017-05-08T21:03:17.301677: step 399, loss 0.516258, acc 0.793945
2017-05-08T21:04:09.397564: step 400, loss 0.508931, acc 0.802734

Evaluation:
2017-05-08T21:04:28.083548: step 400, loss 0.602734, acc 0.753

2017-05-08T21:05:20.250278: step 401, loss 0.554879, acc 0.787109
2017-05-08T21:06:12.101691: step 402, loss 0.526664, acc 0.826172
2017-05-08T21:07:03.844330: step 403, loss 0.512461, acc 0.795898
2017-05-08T21:07:55.522076: step 404, loss 0.523067, acc 0.77832
2017-05-08T21:08:36.749435: step 405, loss 0.502622, acc 0.796296
2017-05-08T21:09:28.774384: step 406, loss 0.485546, acc 0.848633
2017-05-08T21:10:20.874201: step 407, loss 0.50159, acc 0.792969
2017-05-08T21:11:12.604408: step 408, loss 0.491872, acc 0.805664
2017-05-08T21:12:04.578277: step 409, loss 0.521143, acc 0.804688
2017-05-08T21:12:56.339975: step 410, loss 0.529757, acc 0.793945
2017-05-08T21:13:48.283460: step 411, loss 0.507659, acc 0.786133
2017-05-08T21:14:40.280407: step 412, loss 0.52789, acc 0.771484
2017-05-08T21:15:32.081060: step 413, loss 0.503132, acc 0.819336
2017-05-08T21:16:13.170435: step 414, loss 0.529847, acc 0.8
2017-05-08T21:17:05.200272: step 415, loss 0.476509, acc 0.828125
2017-05-08T21:17:57.761650: step 416, loss 0.516313, acc 0.775391
2017-05-08T21:18:49.756901: step 417, loss 0.480572, acc 0.838867
2017-05-08T21:19:41.522089: step 418, loss 0.518142, acc 0.819336
2017-05-08T21:20:33.435399: step 419, loss 0.49882, acc 0.791992
2017-05-08T21:21:25.297055: step 420, loss 0.519872, acc 0.786133
2017-05-08T21:22:17.314452: step 421, loss 0.514145, acc 0.811523
2017-05-08T21:23:09.525621: step 422, loss 0.520024, acc 0.836914
2017-05-08T21:23:50.583027: step 423, loss 0.491397, acc 0.793827
2017-05-08T21:24:42.516202: step 424, loss 0.545546, acc 0.737305
2017-05-08T21:25:34.298407: step 425, loss 0.507499, acc 0.830078
2017-05-08T21:26:26.335509: step 426, loss 0.519126, acc 0.84082
2017-05-08T21:27:18.325864: step 427, loss 0.511665, acc 0.789062
2017-05-08T21:28:10.291392: step 428, loss 0.502352, acc 0.772461
2017-05-08T21:29:02.137628: step 429, loss 0.511051, acc 0.821289
2017-05-08T21:29:54.287889: step 430, loss 0.49058, acc 0.864258
2017-05-08T21:30:46.380270: step 431, loss 0.470782, acc 0.818359
2017-05-08T21:31:27.318743: step 432, loss 0.504008, acc 0.780247
2017-05-08T21:32:19.442590: step 433, loss 0.522432, acc 0.758789
2017-05-08T21:33:11.163210: step 434, loss 0.565767, acc 0.790039
2017-05-08T21:34:03.076280: step 435, loss 0.485653, acc 0.826172
2017-05-08T21:34:54.995621: step 436, loss 0.493794, acc 0.789062
2017-05-08T21:35:47.154141: step 437, loss 0.537984, acc 0.762695
2017-05-08T21:36:38.890367: step 438, loss 0.495923, acc 0.853516
2017-05-08T21:37:30.673183: step 439, loss 0.525185, acc 0.817383
2017-05-08T21:38:22.447857: step 440, loss 0.491406, acc 0.772461
2017-05-08T21:39:03.403849: step 441, loss 0.471837, acc 0.803704
2017-05-08T21:39:54.968480: step 442, loss 0.503189, acc 0.813477
2017-05-08T21:40:46.906451: step 443, loss 0.517896, acc 0.832031
2017-05-08T21:41:39.061299: step 444, loss 0.487302, acc 0.805664
2017-05-08T21:42:30.990497: step 445, loss 0.535691, acc 0.765625
2017-05-08T21:43:23.141770: step 446, loss 0.476696, acc 0.8125
2017-05-08T21:44:14.880110: step 447, loss 0.523021, acc 0.831055
2017-05-08T21:45:07.051503: step 448, loss 0.439918, acc 0.827148
2017-05-08T21:45:58.768196: step 449, loss 0.542188, acc 0.739258
2017-05-08T21:46:39.860426: step 450, loss 0.461029, acc 0.84321
2017-05-08T21:47:31.539950: step 451, loss 0.50125, acc 0.852539
2017-05-08T21:48:23.567832: step 452, loss 0.49588, acc 0.790039
2017-05-08T21:49:15.686649: step 453, loss 0.487503, acc 0.777344
2017-05-08T21:50:07.927014: step 454, loss 0.505552, acc 0.80957
2017-05-08T21:51:00.242198: step 455, loss 0.522539, acc 0.80957
2017-05-08T21:51:52.233496: step 456, loss 0.42055, acc 0.834961
2017-05-08T21:52:43.954331: step 457, loss 0.573264, acc 0.762695
2017-05-08T21:53:36.510115: step 458, loss 0.47584, acc 0.810547
2017-05-08T21:54:17.743180: step 459, loss 0.639675, acc 0.733333
2017-05-08T21:55:09.458587: step 460, loss 0.486245, acc 0.791016
2017-05-08T21:56:01.649788: step 461, loss 0.572616, acc 0.766602
2017-05-08T21:56:53.624409: step 462, loss 0.453992, acc 0.802734
2017-05-08T21:57:45.541500: step 463, loss 0.495831, acc 0.859375
2017-05-08T21:58:37.310380: step 464, loss 0.491887, acc 0.820312
2017-05-08T21:59:29.142499: step 465, loss 0.493748, acc 0.767578
2017-05-08T22:00:20.969831: step 466, loss 0.45348, acc 0.80957
2017-05-08T22:01:13.033881: step 467, loss 0.484956, acc 0.853516
2017-05-08T22:01:53.794462: step 468, loss 0.493566, acc 0.845679
2017-05-08T22:02:45.777566: step 469, loss 0.437439, acc 0.827148
2017-05-08T22:03:37.593434: step 470, loss 0.522602, acc 0.761719
2017-05-08T22:04:29.206592: step 471, loss 0.477863, acc 0.845703
2017-05-08T22:05:21.291234: step 472, loss 0.485232, acc 0.844727
2017-05-08T22:06:13.525535: step 473, loss 0.445902, acc 0.834961
2017-05-08T22:07:05.150497: step 474, loss 0.479454, acc 0.798828
2017-05-08T22:07:57.226282: step 475, loss 0.462557, acc 0.826172
2017-05-08T22:08:49.333545: step 476, loss 0.480391, acc 0.860352
2017-05-08T22:09:30.510381: step 477, loss 0.442454, acc 0.841975
2017-05-08T22:10:22.121550: step 478, loss 0.481614, acc 0.800781
2017-05-08T22:11:13.977443: step 479, loss 0.455727, acc 0.806641
2017-05-08T22:12:06.058883: step 480, loss 0.468921, acc 0.863281
2017-05-08T22:12:58.221177: step 481, loss 0.423328, acc 0.858398
2017-05-08T22:13:50.135214: step 482, loss 0.509416, acc 0.793945
2017-05-08T22:14:41.845725: step 483, loss 0.458406, acc 0.830078
2017-05-08T22:15:33.727661: step 484, loss 0.457406, acc 0.854492
2017-05-08T22:16:25.469727: step 485, loss 0.430434, acc 0.847656
2017-05-08T22:17:06.544556: step 486, loss 0.437757, acc 0.825926
2017-05-08T22:17:58.279478: step 487, loss 0.426517, acc 0.831055
2017-05-08T22:18:50.074475: step 488, loss 0.434683, acc 0.865234
2017-05-08T22:19:41.984211: step 489, loss 0.430528, acc 0.861328
2017-05-08T22:20:33.972807: step 490, loss 0.455506, acc 0.816406
2017-05-08T22:21:25.764205: step 491, loss 0.469721, acc 0.804688
2017-05-08T22:22:17.478289: step 492, loss 0.447295, acc 0.862305
2017-05-08T22:23:09.583606: step 493, loss 0.447549, acc 0.859375
2017-05-08T22:24:01.663530: step 494, loss 0.438481, acc 0.836914
2017-05-08T22:24:42.653236: step 495, loss 0.480255, acc 0.8
2017-05-08T22:25:34.543707: step 496, loss 0.421176, acc 0.836914
2017-05-08T22:26:26.485359: step 497, loss 0.478007, acc 0.841797
2017-05-08T22:27:18.337870: step 498, loss 0.43776, acc 0.823242
2017-05-08T22:28:10.106077: step 499, loss 0.409578, acc 0.856445
2017-05-08T22:29:02.096397: step 500, loss 0.441037, acc 0.834961

Evaluation:
2017-05-08T22:29:20.585835: step 500, loss 0.590796, acc 0.757

2017-05-08T22:30:12.377086: step 501, loss 0.454962, acc 0.849609
2017-05-08T22:31:04.216818: step 502, loss 0.443027, acc 0.856445
2017-05-08T22:31:55.996591: step 503, loss 0.423533, acc 0.837891
2017-05-08T22:32:37.137374: step 504, loss 0.438495, acc 0.846914
2017-05-08T22:33:29.102219: step 505, loss 0.430646, acc 0.84082
2017-05-08T22:34:20.811878: step 506, loss 0.440475, acc 0.841797
2017-05-08T22:35:12.831548: step 507, loss 0.428756, acc 0.847656
2017-05-08T22:36:04.595235: step 508, loss 0.425853, acc 0.858398
2017-05-08T22:36:56.516958: step 509, loss 0.440639, acc 0.841797
2017-05-08T22:37:48.626695: step 510, loss 0.434036, acc 0.838867
2017-05-08T22:38:40.888834: step 511, loss 0.399558, acc 0.863281
2017-05-08T22:39:33.024161: step 512, loss 0.438049, acc 0.867188
2017-05-08T22:40:13.955707: step 513, loss 0.4296, acc 0.845679
2017-05-08T22:41:05.849167: step 514, loss 0.421742, acc 0.84082
2017-05-08T22:41:57.913985: step 515, loss 0.438615, acc 0.84082
2017-05-08T22:42:49.897993: step 516, loss 0.430045, acc 0.847656
2017-05-08T22:43:41.501903: step 517, loss 0.429733, acc 0.858398
2017-05-08T22:44:33.620248: step 518, loss 0.415208, acc 0.831055
2017-05-08T22:45:25.614089: step 519, loss 0.443955, acc 0.810547
2017-05-08T22:46:17.627208: step 520, loss 0.420247, acc 0.884766
2017-05-08T22:47:10.031366: step 521, loss 0.410661, acc 0.878906
2017-05-08T22:47:50.808831: step 522, loss 0.467632, acc 0.791358
2017-05-08T22:48:42.755461: step 523, loss 0.429689, acc 0.826172
2017-05-08T22:49:34.291243: step 524, loss 0.452098, acc 0.870117
2017-05-08T22:50:26.302612: step 525, loss 0.442261, acc 0.856445
2017-05-08T22:51:18.050268: step 526, loss 0.442734, acc 0.794922
2017-05-08T22:52:09.997284: step 527, loss 0.403866, acc 0.839844
2017-05-08T22:53:01.869513: step 528, loss 0.421695, acc 0.883789
2017-05-08T22:53:53.985075: step 529, loss 0.445541, acc 0.835938
2017-05-08T22:54:45.923836: step 530, loss 0.411657, acc 0.84082
2017-05-08T22:55:27.043122: step 531, loss 0.440813, acc 0.839506
2017-05-08T22:56:18.893241: step 532, loss 0.411531, acc 0.882812
2017-05-08T22:57:10.917312: step 533, loss 0.438617, acc 0.84375
2017-05-08T22:58:02.660719: step 534, loss 0.418494, acc 0.84668
2017-05-08T22:58:54.383316: step 535, loss 0.432652, acc 0.824219
2017-05-08T22:59:46.346470: step 536, loss 0.404122, acc 0.853516
2017-05-08T23:00:38.200663: step 537, loss 0.407443, acc 0.857422
2017-05-08T23:01:30.048261: step 538, loss 0.421527, acc 0.871094
2017-05-08T23:02:22.188544: step 539, loss 0.395574, acc 0.865234
2017-05-08T23:03:03.181227: step 540, loss 0.412002, acc 0.849383
2017-05-08T23:03:54.848278: step 541, loss 0.412042, acc 0.837891
2017-05-08T23:04:46.997214: step 542, loss 0.408458, acc 0.864258
2017-05-08T23:05:39.205238: step 543, loss 0.420584, acc 0.868164
2017-05-08T23:06:31.208967: step 544, loss 0.404035, acc 0.832031
2017-05-08T23:07:23.124514: step 545, loss 0.407487, acc 0.842773
2017-05-08T23:08:15.372398: step 546, loss 0.40947, acc 0.884766
2017-05-08T23:09:07.108050: step 547, loss 0.402242, acc 0.876953
2017-05-08T23:09:59.478385: step 548, loss 0.410945, acc 0.84375
2017-05-08T23:10:40.558849: step 549, loss 0.440538, acc 0.828395
2017-05-08T23:11:32.443943: step 550, loss 0.424734, acc 0.857422
2017-05-08T23:12:24.016239: step 551, loss 0.416552, acc 0.884766
2017-05-08T23:13:15.841883: step 552, loss 0.405092, acc 0.841797
2017-05-08T23:14:07.692398: step 553, loss 0.414297, acc 0.808594
2017-05-08T23:14:59.481364: step 554, loss 0.403747, acc 0.876953
2017-05-08T23:15:51.274098: step 555, loss 0.394224, acc 0.902344
2017-05-08T23:16:43.263828: step 556, loss 0.404151, acc 0.857422
2017-05-08T23:17:35.167450: step 557, loss 0.413116, acc 0.828125
2017-05-08T23:18:16.328259: step 558, loss 0.393866, acc 0.879012
2017-05-08T23:19:08.242585: step 559, loss 0.426262, acc 0.882812
2017-05-08T23:20:00.298873: step 560, loss 0.40388, acc 0.860352
2017-05-08T23:20:52.147402: step 561, loss 0.385923, acc 0.856445
2017-05-08T23:21:43.973108: step 562, loss 0.386641, acc 0.863281
2017-05-08T23:22:35.923555: step 563, loss 0.400456, acc 0.862305
2017-05-08T23:23:27.728710: step 564, loss 0.413398, acc 0.875
2017-05-08T23:24:19.425003: step 565, loss 0.359386, acc 0.907227
2017-05-08T23:25:11.172184: step 566, loss 0.405968, acc 0.832031
2017-05-08T23:25:52.200762: step 567, loss 0.392184, acc 0.849383
2017-05-08T23:26:44.013483: step 568, loss 0.392908, acc 0.884766
2017-05-08T23:27:35.790372: step 569, loss 0.399341, acc 0.891602
2017-05-08T23:28:27.627757: step 570, loss 0.397418, acc 0.834961
2017-05-08T23:29:19.789668: step 571, loss 0.398176, acc 0.839844
2017-05-08T23:30:11.781666: step 572, loss 0.389594, acc 0.893555
2017-05-08T23:31:03.697978: step 573, loss 0.399531, acc 0.889648
2017-05-08T23:31:55.682373: step 574, loss 0.40084, acc 0.852539
2017-05-08T23:32:47.914442: step 575, loss 0.39407, acc 0.847656
2017-05-08T23:33:28.993630: step 576, loss 0.404309, acc 0.882716
2017-05-08T23:34:20.928511: step 577, loss 0.396991, acc 0.871094
2017-05-08T23:35:12.818186: step 578, loss 0.382989, acc 0.857422
2017-05-08T23:36:04.873960: step 579, loss 0.382903, acc 0.87793
2017-05-08T23:36:56.642866: step 580, loss 0.380421, acc 0.880859
2017-05-08T23:37:48.302300: step 581, loss 0.393339, acc 0.870117
2017-05-08T23:38:40.502713: step 582, loss 0.391307, acc 0.850586
2017-05-08T23:39:32.123593: step 583, loss 0.365224, acc 0.875
2017-05-08T23:40:24.234414: step 584, loss 0.385474, acc 0.881836
2017-05-08T23:41:05.577689: step 585, loss 0.386247, acc 0.87284
2017-05-08T23:41:57.479337: step 586, loss 0.383648, acc 0.851562
2017-05-08T23:42:49.188026: step 587, loss 0.371526, acc 0.870117
2017-05-08T23:43:41.475555: step 588, loss 0.369221, acc 0.891602
2017-05-08T23:44:33.343397: step 589, loss 0.375912, acc 0.888672
2017-05-08T23:45:24.969623: step 590, loss 0.361267, acc 0.885742
2017-05-08T23:46:16.870803: step 591, loss 0.369766, acc 0.865234
2017-05-08T23:47:08.498586: step 592, loss 0.400769, acc 0.853516
2017-05-08T23:48:00.410012: step 593, loss 0.39332, acc 0.890625
2017-05-08T23:48:41.679656: step 594, loss 0.396754, acc 0.880247
2017-05-08T23:49:33.321705: step 595, loss 0.3849, acc 0.852539
2017-05-08T23:50:25.258692: step 596, loss 0.374754, acc 0.856445
2017-05-08T23:51:17.498075: step 597, loss 0.379677, acc 0.882812
2017-05-08T23:52:09.545214: step 598, loss 0.385679, acc 0.886719
2017-05-08T23:53:01.486662: step 599, loss 0.365261, acc 0.879883
2017-05-08T23:53:53.668609: step 600, loss 0.38558, acc 0.864258

Evaluation:
2017-05-08T23:54:12.279351: step 600, loss 0.580563, acc 0.762

2017-05-08T23:55:04.095327: step 601, loss 0.368521, acc 0.883789
2017-05-08T23:55:56.093536: step 602, loss 0.385445, acc 0.866211
2017-05-08T23:56:37.315336: step 603, loss 0.368051, acc 0.879012
2017-05-08T23:57:29.026614: step 604, loss 0.384391, acc 0.90332
2017-05-08T23:58:20.850864: step 605, loss 0.377547, acc 0.841797
2017-05-08T23:59:12.927595: step 606, loss 0.34879, acc 0.895508
2017-05-09T00:00:05.096451: step 607, loss 0.390808, acc 0.90332
2017-05-09T00:00:57.046092: step 608, loss 0.374484, acc 0.869141
2017-05-09T00:01:49.385075: step 609, loss 0.35592, acc 0.856445
2017-05-09T00:02:41.466162: step 610, loss 0.365716, acc 0.871094
2017-05-09T00:03:33.270840: step 611, loss 0.416816, acc 0.875977
2017-05-09T00:04:14.322225: step 612, loss 0.385998, acc 0.85679
2017-05-09T00:05:06.656313: step 613, loss 0.401249, acc 0.830078
2017-05-09T00:05:58.740253: step 614, loss 0.36655, acc 0.87793
2017-05-09T00:06:50.474281: step 615, loss 0.356174, acc 0.917969
2017-05-09T00:07:42.584592: step 616, loss 0.359345, acc 0.873047
2017-05-09T00:08:34.773235: step 617, loss 0.396933, acc 0.831055
2017-05-09T00:09:26.499051: step 618, loss 0.3792, acc 0.897461
2017-05-09T00:10:18.311882: step 619, loss 0.377697, acc 0.894531
2017-05-09T00:11:10.173617: step 620, loss 0.347993, acc 0.875
2017-05-09T00:11:51.377065: step 621, loss 0.432376, acc 0.795062
2017-05-09T00:12:43.261447: step 622, loss 0.363337, acc 0.90332
2017-05-09T00:13:35.479694: step 623, loss 0.389925, acc 0.897461
2017-05-09T00:14:27.348801: step 624, loss 0.341392, acc 0.861328
2017-05-09T00:15:19.332555: step 625, loss 0.439766, acc 0.804688
2017-05-09T00:16:11.076444: step 626, loss 0.367182, acc 0.897461
2017-05-09T00:17:02.965393: step 627, loss 0.391845, acc 0.905273
2017-05-09T00:17:54.930882: step 628, loss 0.385606, acc 0.837891
2017-05-09T00:18:47.052757: step 629, loss 0.391331, acc 0.814453
2017-05-09T00:19:28.289458: step 630, loss 0.375418, acc 0.907407
2017-05-09T00:20:20.408418: step 631, loss 0.401965, acc 0.887695
2017-05-09T00:21:12.243462: step 632, loss 0.379691, acc 0.841797
2017-05-09T00:22:03.908765: step 633, loss 0.369266, acc 0.839844
2017-05-09T00:22:55.919144: step 634, loss 0.35955, acc 0.890625
2017-05-09T00:23:47.987028: step 635, loss 0.407054, acc 0.875
2017-05-09T00:24:39.648269: step 636, loss 0.354705, acc 0.860352
2017-05-09T00:25:31.574357: step 637, loss 0.352992, acc 0.848633
2017-05-09T00:26:23.589965: step 638, loss 0.355602, acc 0.896484
2017-05-09T00:27:04.867480: step 639, loss 0.385176, acc 0.893827
2017-05-09T00:27:56.749565: step 640, loss 0.353471, acc 0.883789
2017-05-09T00:28:48.558389: step 641, loss 0.350414, acc 0.864258
2017-05-09T00:29:40.633707: step 642, loss 0.344084, acc 0.907227
2017-05-09T00:30:32.380780: step 643, loss 0.344084, acc 0.898438
2017-05-09T00:31:24.115227: step 644, loss 0.353356, acc 0.875
2017-05-09T00:32:16.178722: step 645, loss 0.337644, acc 0.907227
2017-05-09T00:33:08.004379: step 646, loss 0.344247, acc 0.90918
2017-05-09T00:33:59.664199: step 647, loss 0.34215, acc 0.895508
2017-05-09T00:34:40.512242: step 648, loss 0.3291, acc 0.901235
2017-05-09T00:35:32.524359: step 649, loss 0.324201, acc 0.905273
2017-05-09T00:36:24.391604: step 650, loss 0.329944, acc 0.90625
2017-05-09T00:37:16.468713: step 651, loss 0.344487, acc 0.891602
2017-05-09T00:38:08.624497: step 652, loss 0.310257, acc 0.911133
2017-05-09T00:39:00.511094: step 653, loss 0.333306, acc 0.895508
2017-05-09T00:39:52.383080: step 654, loss 0.347288, acc 0.908203
2017-05-09T00:40:44.397216: step 655, loss 0.35519, acc 0.902344
2017-05-09T00:41:36.209705: step 656, loss 0.349772, acc 0.87793
2017-05-09T00:42:17.417604: step 657, loss 0.348264, acc 0.881481
2017-05-09T00:43:09.357460: step 658, loss 0.335988, acc 0.916016
2017-05-09T00:44:01.531600: step 659, loss 0.325744, acc 0.910156
2017-05-09T00:44:53.643048: step 660, loss 0.342458, acc 0.896484
2017-05-09T00:45:45.709250: step 661, loss 0.31911, acc 0.897461
2017-05-09T00:46:37.584820: step 662, loss 0.330069, acc 0.887695
2017-05-09T00:47:29.452688: step 663, loss 0.341255, acc 0.917969
2017-05-09T00:48:21.167340: step 664, loss 0.326473, acc 0.901367
2017-05-09T00:49:12.817135: step 665, loss 0.338454, acc 0.883789
2017-05-09T00:49:53.960227: step 666, loss 0.346008, acc 0.890123
2017-05-09T00:50:46.031079: step 667, loss 0.311951, acc 0.918945
2017-05-09T00:51:37.964609: step 668, loss 0.316651, acc 0.916992
2017-05-09T00:52:30.210352: step 669, loss 0.346805, acc 0.871094
2017-05-09T00:53:22.071294: step 670, loss 0.310971, acc 0.90918
2017-05-09T00:54:14.159148: step 671, loss 0.316574, acc 0.918945
2017-05-09T00:55:05.962763: step 672, loss 0.314532, acc 0.90918
2017-05-09T00:55:57.827443: step 673, loss 0.36875, acc 0.866211
2017-05-09T00:56:49.921629: step 674, loss 0.355169, acc 0.911133
2017-05-09T00:57:30.994420: step 675, loss 0.333057, acc 0.908642
2017-05-09T00:58:23.004873: step 676, loss 0.317338, acc 0.894531
2017-05-09T00:59:15.026540: step 677, loss 0.355405, acc 0.859375
2017-05-09T01:00:07.133280: step 678, loss 0.33451, acc 0.923828
2017-05-09T01:00:59.154331: step 679, loss 0.340533, acc 0.911133
2017-05-09T01:01:51.139590: step 680, loss 0.304565, acc 0.889648
2017-05-09T01:02:43.553415: step 681, loss 0.324586, acc 0.881836
2017-05-09T01:03:35.396107: step 682, loss 0.321255, acc 0.912109
2017-05-09T01:04:27.869079: step 683, loss 0.339995, acc 0.922852
2017-05-09T01:05:08.928933: step 684, loss 0.308191, acc 0.91358
2017-05-09T01:06:00.637520: step 685, loss 0.333759, acc 0.876953
2017-05-09T01:06:52.583277: step 686, loss 0.313829, acc 0.93457
2017-05-09T01:07:44.489987: step 687, loss 0.320931, acc 0.922852
2017-05-09T01:08:36.471582: step 688, loss 0.337375, acc 0.870117
2017-05-09T01:09:28.303056: step 689, loss 0.338484, acc 0.882812
2017-05-09T01:10:19.973535: step 690, loss 0.31115, acc 0.939453
2017-05-09T01:11:11.842490: step 691, loss 0.317345, acc 0.94043
2017-05-09T01:12:03.709580: step 692, loss 0.314739, acc 0.886719
2017-05-09T01:12:44.674887: step 693, loss 0.331261, acc 0.866667
2017-05-09T01:13:36.441188: step 694, loss 0.309322, acc 0.923828
2017-05-09T01:14:28.089434: step 695, loss 0.315921, acc 0.935547
2017-05-09T01:15:20.122193: step 696, loss 0.324585, acc 0.894531
2017-05-09T01:16:11.875739: step 697, loss 0.324565, acc 0.886719
2017-05-09T01:17:03.886681: step 698, loss 0.319783, acc 0.928711
2017-05-09T01:17:55.445152: step 699, loss 0.322577, acc 0.926758
2017-05-09T01:18:47.338836: step 700, loss 0.3181, acc 0.886719

Evaluation:
2017-05-09T01:19:05.943633: step 700, loss 0.5898, acc 0.757

2017-05-09T01:19:58.014592: step 701, loss 0.324239, acc 0.880859
2017-05-09T01:20:39.146535: step 702, loss 0.296798, acc 0.937037
2017-05-09T01:21:30.951470: step 703, loss 0.292433, acc 0.9375
2017-05-09T01:22:22.864500: step 704, loss 0.329117, acc 0.87207
2017-05-09T01:23:14.814770: step 705, loss 0.306884, acc 0.904297
2017-05-09T01:24:06.611877: step 706, loss 0.322684, acc 0.926758
2017-05-09T01:24:58.493881: step 707, loss 0.328617, acc 0.914062
2017-05-09T01:25:50.415319: step 708, loss 0.327156, acc 0.875977
2017-05-09T01:26:42.175176: step 709, loss 0.316481, acc 0.889648
2017-05-09T01:27:34.768612: step 710, loss 0.331724, acc 0.919922
2017-05-09T01:28:15.848831: step 711, loss 0.299301, acc 0.919753
2017-05-09T01:29:07.809717: step 712, loss 0.307234, acc 0.880859
2017-05-09T01:29:59.429182: step 713, loss 0.296743, acc 0.922852
2017-05-09T01:30:51.567116: step 714, loss 0.311409, acc 0.926758
2017-05-09T01:31:43.499213: step 715, loss 0.308436, acc 0.914062
2017-05-09T01:32:35.336349: step 716, loss 0.303512, acc 0.90625
2017-05-09T01:33:27.482081: step 717, loss 0.298948, acc 0.925781
2017-05-09T01:34:19.275408: step 718, loss 0.298787, acc 0.916992
2017-05-09T01:35:11.045214: step 719, loss 0.303441, acc 0.926758
2017-05-09T01:35:52.041221: step 720, loss 0.312611, acc 0.898765
2017-05-09T01:36:44.065038: step 721, loss 0.300623, acc 0.918945
2017-05-09T01:37:35.706254: step 722, loss 0.291052, acc 0.932617
2017-05-09T01:38:27.600428: step 723, loss 0.297191, acc 0.907227
2017-05-09T01:39:19.426543: step 724, loss 0.312076, acc 0.902344
2017-05-09T01:40:11.580764: step 725, loss 0.30466, acc 0.926758
2017-05-09T01:41:03.268640: step 726, loss 0.289591, acc 0.93457
2017-05-09T01:41:54.983251: step 727, loss 0.308466, acc 0.915039
2017-05-09T01:42:46.806817: step 728, loss 0.29862, acc 0.922852
2017-05-09T01:43:27.879354: step 729, loss 0.262734, acc 0.946914
2017-05-09T01:44:19.630203: step 730, loss 0.276218, acc 0.935547
2017-05-09T01:45:11.803202: step 731, loss 0.280037, acc 0.916016
2017-05-09T01:46:03.782904: step 732, loss 0.297022, acc 0.908203
2017-05-09T01:46:55.962677: step 733, loss 0.321349, acc 0.923828
2017-05-09T01:47:47.981902: step 734, loss 0.302922, acc 0.94043
2017-05-09T01:48:39.734024: step 735, loss 0.271528, acc 0.935547
